id,name,type,date,distance_km,duration_min,elevation_m,avg_speed_kmh,max_speed_kmh,calories,kudos,polyline,pace_min_km,date_only,month_year
16397815221,Afternoon Run,Run,2025-11-08 17:15:57+00:00,5.4,29.55,13.5,11.012400000000001,16.416,0,12,|ei~AxhabH[p@sBnDQb@]ZkAbB_@v@}@tAoAxBe@`AaD|E{CdFQZOn@STk@f@OTxA{BFYFQfBoCl@iAv@iAr@qA\g@|@kBdAcBvAgCR[f@m@pAuBLYl@gAd@aAl@}@lAsB`@]JKH_@r@kA\g@h@iA@OIa@AaAHaACiA@oCBs@AULyC@}@Fg@@iAToKIe@?_@Bg@JmACw@DwAHuBNyB?w@Fq@BiAB]@gCF}C?oBMgBByCEaA@C\YKJELC`ALrECtADv@EhBDdA?xBAHGTIzACfAQjCAd@MzBGz@ENHb@Ix@@vAPvAKx@GjAGxCDn@Gd@CxAG|@Dj@GTKdAAf@GvEBv@Gj@KROLGTGt@ABIBuASqAKyAUcCYs@M[A_@EIBUr@Mf@KL}@E{Cc@,5.4,2025-11-08,2025-11
16347072028,Evening Run,Run,2025-11-03 20:28:08+00:00,5.0,30.383333333333333,21.7,9.9396,12.888,0,9,vdi~Atz`bHf@HXBtB^\BRTVHDLAHc@v@KJS^q@~Ai@n@iBbD]j@a@x@k@z@Q`@kApAq@dA_AfBeBpC_@bAuIxNF[Ra@nBwCdBuCh@cATUXk@`@g@rBuDv@mA\s@^c@`@s@b@c@Ru@V]Pa@fBkCh@aA\s@f@s@J]R]b@q@j@iAV[?OI[AU@u@H}@IsA@_BBcALkCHgCO]Ca@Gg@@sBBi@E_AOkAC]HaADMRYBk@?AVG@GF}@CU?[HaA@s@H}@@_BD[B{@Fk@B_CHmADcDA_B@k@?iAI_DCkB?{@Fk@?i@\rLEbB?vABf@Cn@Kn@Bf@ExAKj@CX?XGb@BjBQlBMtBCP@v@BXEr@?`@B\Jj@B`@CTOp@EpAGz@FfCKnBEX?p@KtC,6.0,2025-11-03,2025-11
16227765269,Night Run,Run,2025-10-22 21:19:32+00:00,3.2,17.483333333333334,18.9,10.9872,14.256,0,12,nrh~Apz`bHxAVdANnAJ\H|@JVFbBNn@J|@HXDj@NzARHFH`@ATFNAPGPe@l@MZy@xA_@d@{@xAe@n@o@zAg@b@_@h@Q^a@j@i@dA_EfHR_@X_@Na@t@iAh@kAf@w@NULGL[n@iAX]~AwCfAaBzAuCv@gAFOh@{@~@iBRW@MKe@Aw@Do@@i@Eq@@w@Ag@@iAVyE?w@BIBNCvBAd@It@AnAEzA?j@KZCfACZO^CVAZEJIBKAg@OiBM_AOy@IYEm@Cs@Oc@Ck@Qi@IEFITO|@EJIFY@a@CiDe@,5.5,2025-10-22,2025-10
15902703988,Afternoon Run,Run,2025-09-22 17:06:37+00:00,5.0,22.2,16.7,13.5396,20.52,0,8,rfi~AjhabHm@bA}@lA{@pASh@k@z@Yf@a@d@aCvDaAjBm@~@KTUXkAdBeCtEw@rAM\BAJg@n@iAXs@v@gApBiDh@u@Pc@^g@Zo@pCuEVi@\a@t@kAz@}AbBkC\u@dAgBn@{@Zq@pAqBVo@LkSJoA@o@Hs@GwADq@HiCLy@OgAGcAH_A?eA`@}IF_@Cu@JoBBmBDmAAcADm@C}BHyCAbDFd@@\GhA@bCGpAAtAEr@AbBGp@IrCUrCExAGt@@z@ThBMv@GtAKxEAdA}DtXAC}@GoF{@cBMm@KmEi@mB_@cBQiB[BCbBVrAHrEl@VFiAGo@G,4.4,2025-09-22,2025-09
15823753273,Afternoon Run,Run,2025-09-15 17:12:59+00:00,5.0,26.4,18.6,11.3796,15.48,0,8,bvh~Ad{`bHvCZXJjBVbATpBPdATlANDF?NDPD`@@\GNc@p@e@bASVu@rAcA~AWd@[d@KV]n@_@f@S`@WVk@z@Yj@cAdBm@`As@bAKTMb@WXO\}BlDyAbCSZO\CRNo@rAgCJYTa@^i@jAkB^s@NQ^s@Zc@b@{@xBmDf@aA\c@nAqBVm@`@e@h@mA^i@hBeD`@e@n@kA^g@`@_AZc@@KCgBFs@KqBHcBLkHDk@B{AAy@H{@LgDJq@CDKn@ChDDd@Aj@OxAO~GItB?nBBz@G~@ElABn@w@xAOf@c@v@Yl@QNY\OZeH|Kb@q@^c@d@aAhD_GRa@~@qAHWFGIGM[Ae@EEkBQiBYm@E{HgA}AOe@K,5.3,2025-09-15,2025-09
15582375183,Lunch Run,Run,2025-08-25 12:44:54+00:00,5.1,25.766666666666666,10.6,11.8944,21.888,0,9,xdi~Av~`bHjAJbAVB\Hr@M`@OZW`@a@hAyBdDe@l@a@r@Wj@q@`AWn@eBxCg@t@MXg@j@KTWZEJGV]f@o@jAaAxASb@w@tAkAzAWbACEHk@f@}@L[dCgEn@aAXi@n@}@h@kAdA_B\s@b@q@f@}@^e@^q@n@s@Ty@z@yAZo@tA}BRWXm@`@k@Zs@pBuC@YGWC]?k@D_AGkAPyEJiEDi@Cm@H_AE{@BS?o@HkCBUL]DA@HEp@IfFBl@OnA_@dKC`CB\BdEEJSTSZsAjCu@fAaArBiBjCaAdBc@j@]f@K\]`@wB~Do@x@Qb@g@t@GRl@uAL_@V[jBkDlAiBJYTc@V]fAmB`BgCr@mA\q@`@g@Re@wBcBkB]{AO{@Ok@Ei@MyBUsCa@,5.0,2025-08-25,2025-08
15409448279,Morning Run,Run,2025-08-10 05:47:15+00:00,22.0,131.4,151.9,10.0476,15.912,0,13,jdi~Av~`bH`BTt@PFTC`@@PQn@_@f@Wf@IXuCzEw@~A_@`@_AtAqBlDMLw@xAYr@Y`@]t@kBpCyC`FIF\g@^iAR]Ia@jAwBz@mA\o@fA_B|AmC^i@p@sAdA}AxB}DfAwAVi@zEgIRa@H]RqMH_D@uCJ}BEoAQuAEoAF]h@{@BOF{BT{BNsC@kALkBLkFKqFCwIOsEFSHK`@OfFHbAXnBKfBHLBPNPB`AOV?lEPhB@zENfJ\b@CdL\LCDELi@\f@H@~AFv@HnAA~AFZCpBJf@Gp@@xARdDr@NE^k@RKj@Dx@\d@Z^l@f@j@JXIb@BLdBvADVJR~AlBl@|@lBnDh@|@pAvClAbCnDhGf@pAlAbCtAzBXx@bApBb@dAFVtCdFXx@b@z@eEgIaAaB_AsBm@cAyBqEc@s@mAmCSYOe@cCqEuDyHwAkCq@}@yAeB_BwA{CoBeBs@aAUsAe@eB]sAOsBMaKWuA?yFQmI[aB?wCO}Q_@k@EYQOE}BK{@_AKWDqA?aAV}KJuILsCD}B\wLC_@Nq^O?ACmHQkC?sAG_GGm@CmAOmFGuBKmDGmA@eBMGElD?xJNrHZnDHdC?hERhAAtCB@BEBM@qBDyBMs@@mCI{EGuAKgDCs@EuD?eBMsIUoCAaCIwTIAv@Ot@e@pAs@rAkAj@m@TkBjA_A`@UNo@M_@WeAMUWArAKl@IbAIXm@r@sAb@}@d@wC|@wBf@mBNsAPs@Ae@Hq@Po@VkCf@i@Ps@HkA`@{AZ{C\_Ch@oC\cB`@qA?s@Po@DBf@pAtM?`@CNKPSNALnAjIt@nEZrA`AbDxBnG`AhClAvCvAhCX\XJ\BVEjAc@|@i@nEwB`Ao@|Aq@fDcBjD_BxBiAzBw@nDm@pDAn@Jd@CbAT`CAnBB|@FnDDlGPfBLpBAl@F|BEf@DvB?vBLtGJnAHrB?`PhE?^Gf@AZHt@AtBNhEExBBpAEtAMnBGxEWpDKfDMpA@f@L`A@`@CTKb@KnBEzB@d@I~@GlBKzI@`DIp@ERCd@KJ_@Fb@r@]v@iAbBy@`By@rA]p@uAfBy@pBa@f@eDlFc@bAoApBUn@q@nAoB`DoBnCUf@Ml@CKJi@bAmBv@uAV[bDoFZ_@L]dB_DpBgDbAuAvBsDlAaCtA{Eq@MaAGa@Iy@GeEm@_B]mAM,6.0,2025-08-10,2025-08
15359552704,Night Run,Run,2025-08-05 21:05:25+00:00,5.0,23.866666666666667,10.4,12.571200000000001,17.784000000000002,0,8,zhi~AzdabHa@n@u@`BoClEYp@_@`@w@jAeAlBeBjC}@zAWh@[`@Wh@yBlDa@v@sAtBQb@@MN_@t@yA`FkIl@iARe@\k@n@oAhBsCr@qAn@y@Pa@fCcExAkC^g@Xs@n@_AxAyRHsFDi@?aBDmA@qABa@Lu@?YMu@Gy@@c@Hi@Cw@V{CDgBA[@w@NyCCUH{A?s@Ae@By@Cq@CuB@eABxOIn@Bf@ExAIr@GlA?jAKxA?n@Kn@Cl@?l@Jj@B`@OhAKjE@bAGn@GhBC`CK|C?h@G~EqCtIS\{@hB{@tAWXoBjD]^y@pAcBxCmGlKUb@,4.8,2025-08-05,2025-08
15206576153,Night Run,Run,2025-07-22 22:01:16+00:00,5.0,26.65,20.7,11.3148,16.632,0,14,~sh~Avz`bH`@JvEh@xDr@`BLxAPd@HLDJJH~@GRSd@c@n@k@nAsAbCq@~@aAnB]^w@jAuAbCgBtCUf@g@r@e@z@iDtFYb@c@b@g@t@CBIAIGFOtA}BjAiBbCmEvCwE~@cBn@cAFMDSFUz@yAPc@t@sAdB}BlBkDtAyBXo@Fa@Fy@B_DTkG@yBBY@aACmBBQ@kAFeAAQOkACgABUHMNENBV\FZMl@Cj@A~AGbB@r@MhBM~E?pAEn@E~A?dABf@Eh@Av@@TBT?PSXi@hA{@xAQd@[\cAfBs@tAm@v@w@tAYp@?FTaA^{@xAmCv@mAf@aATSP]Hg@C]FQ?GqAQsBSy@SgBO}AU,5.3,2025-07-22,2025-07
15178389176,Lunch Ride,Ride,2025-07-20 12:12:23+00:00,10.4,35.55,52.0,17.5284,34.704,0,14,f_i~At}`bHt@NrAR~@JXAx@Ln@RRKh@}@TKPDPMDQI_@?kABID?@BAlAF^AL[\w@xAa@l@]x@_@f@MZsBrDs@bAe@~@I\IPYZ[`@yBtDuAnBi@dA]d@{E~H_BnCUz@KLc@VQPaCpDqBzBe@X_@\OVCP?ND\CBEOA_@DUHWNSPOv@a@t@}@\WZa@xBkDNOj@_@JOPu@N[rFaJ`@e@Nc@\a@^y@jD_Gb@i@bAaBz@cBz@sAjAsB^i@Te@X_@Xo@d@u@p@oAV_@BI?IG_@?a@FcBCgAFmGJeCHy@BaAHm@Ck@?g@L}DLs@@SYgCBg@Hc@Ei@RuDHuDLkDHoE@yCCuDOyJB]LYHGXEhA@tCJp@VJ?TKVAzAHr@AbCFbRh@xUj@l@BLB@BCB}GOiCKk@?sCMeEImFS{BCeEOO?]Hi@BOCOOGAeAC}@AqBJOCQOOEaCIk@?U@_@NOLKJCLBb@KNEn@IJ?LD|CPjBHlB?`BCb@AlBEz@ErBMvB?v@M~B?zAW|CAh@Gz@@t@GP[f@Ed@?n@TfBDj@ETBf@A|@a@|QGzCGt@GFKAgB]qCa@o@Mq@IuJyAkBUoDm@g@Ec@@IHIt@Ez@DJNLD@PEH?vAPh@DxAXfEh@\Hd@BLEd@wA?MGKu@SgEo@,3.4,2025-07-20,2025-07
